cohort_obs_dt,segment_calibration,consolidated_id,default_first_in_12M_dt,pd_model_class,pd_model_pct,pd_decided_class,pd_decided_pct,issued_or_outstanding_amt_EUR,granted_amt_EUR,EaD_amt_EUR,RWA_amt_EUR,default_flg,Validation_sample
12/31/2022,CORP,45524168,,3,0.002802,3,0.002802,1864950,2000002,1966239,1175231.4,0,1
12/31/2022,CORP,49486671,,7,0.0453,7,0.0453,359205.02,359205.02,359205.02,339312.0807,0,1
12/31/2022,CORP,16688984,,8,0.110622,8,0.110622,4793951.8,5052909.8,4988170.8,10566883.6,0,1
12/31/2022,CORP,87483371,,4,0.0049,4,0.0049,471752,994566,863863.1,433377.1,0,1
12/31/2022,CORP,89713534,,5,0.0113,5,0.0113,1396378.72,1819808.72,1713951.72,1245021.507,0,1
12/31/2022,CORP,74437355,,5,0.0107,6,0.0226,1265606,1890924,1734595,1263320.7,0,1
12/31/2022,CORP,98017312,,5,0.0113,5,0.0113,1100920,1100920,1100920,803534,0,1
12/31/2022,CORP,66891327,,3,0.0028,3,0.0028,327673.5,1500054.02,701178.994,276510.215,0,1
12/31/2022,CORP,47076883,,5,0.0122,5,0.0122,3778180,4901530,4620695,5070069,0,1
12/31/2022,CORP,15715201,,3,0.0035,3,0.0035,120000,120000,120000,0,0,1
12/31/2022,CORP,75596930,,6,0.0203,6,0.0203,185943.6,185943.6,37188.62,26266.19,0,1
12/31/2022,CORP,41507181,,6,0.0226,6,0.0226,2214523.07,2258429.8,2247453.07,1324080.644,0,1
12/31/2022,CORP,95601675,,6,0.0256,6,0.0256,53023.88,455000,275465.97,243081.842,0,1
12/31/2022,CORP,21433941,,9,0.1343,6,0.0226,2940530,3046038,3019661.2,3387243,0,1
12/31/2022,CORP,40821728,,6,0.0226,6,0.0226,10302301.2,13296140.2,12547676.7,16366214.9,0,1
12/31/2022,CORP,44264612,,5,0.0142,5,0.0142,76.84,35000.04,26269.24,19306.8745,0,1
12/31/2022,CORP,99386074,,3,0.0028,3,0.0028,1381969,6900289,5520709,3299777,0,1
12/31/2022,CORP,75329976,,5,0.0085,6,0.0226,73390.7,100025.1,93366.5,82436.9,0,1
12/31/2022,CORP,62131242,,5,0.0121,6,0.0226,0,200000,150000,105120,0,1
12/31/2022,CORP,14179338,,5,0.0113,5,0.0113,2462070,2462070,2462070,1796996,0,1
12/31/2022,CORP,29131777,,3,0.0028,4,0.0057,598751,950001,582188,327887.9,0,1
12/31/2022,CORP,77750291,,3,0.0028,3,0.0028,2227510,2599590.5,2506570.4,1004478.2,0,1
12/31/2022,CORP,16113948,,5,0.0113,6,0.0226,54625.9,100013.3,88666.5,78287,0,1
12/31/2022,CORP,80467091,,5,0.0113,5,0.0113,10949785.76,16928649.96,15433938.96,15201855.28,0,1
12/31/2022,CORP,84863237,,6,0.0294,6,0.0294,6964098.9,7306532.9,7170923.9,6364405.1,0,1
12/31/2022,CORP,12873410,,5,0.012137,5,0.012137,3521348.61,8689431.28,3249204.01,2777682.118,0,1
12/31/2022,CORP,46906086,,4,0.004859,4,0.004859,190354,200000,197588.5,111281.46,0,1
12/31/2022,CORP,34786621,,6,0.022,6,0.022,494735.3,509153.6,505549,403683.6,0,1
12/31/2022,CORP,58334106,,4,0.0061,4,0.0061,6,10000,7501.5,4600.5397,0,1
12/31/2022,CORP,81255950,,4,0.0047,4,0.0047,101848,160024.7,145480.5,82085.1,0,1
12/31/2022,CORP,37251066,,3,0.002514,4,0.0057,7440562.98,52799998.98,34767132.98,29217623.48,0,1
12/31/2022,CORP,81437350,,4,0.0047,4,0.0047,491658,900077.04,797972.28,449417.2,0,1
12/31/2022,CORP,62437656,,5,0.0093,5,0.0093,247365.4,482305.4,257787.4,146340.64,0,1
12/31/2022,CORP,49637676,,4,0.0042,4,0.0042,130334,300000,189717.1,27438.07,0,1
12/31/2022,CORP,71892091,,6,0.0222,6,0.0222,543305.69,883563.69,798498.69,606921.29,0,1
12/31/2022,CORP,17608499,,3,0.0028,3,0.0028,116467,133030.3,128889.5,51651.07,0,1
12/31/2022,CORP,46888436,,1,0.0007,3,0.0028,4130800,6200000,5682700,3396602,0,1
12/31/2022,CORP,50803751,,4,0.0057,4,0.0057,2872309.1,6853294.1,5858049.1,3352892.6,0,1
12/31/2022,CORP,13963610,,8,0.1045,8,0.1045,739440,739440,739440,1052084,0,1
12/31/2022,CORP,33810065,,5,0.0146,5,0.0146,581860,622255.5,612156.6,359620.2,0,1
12/31/2022,CORP,75421355,,5,0.0154,5,0.0154,280640.9,310068.8,302711.8,210050.6,0,1
12/31/2022,CORP,35702576,,5,0.0113,5,0.0113,17780.5,200004.5,154448.5,112727.6,0,1
12/31/2022,CORP,14764688,,3,0.0028,4,0.0057,742583.4,1161460,881888.9,741121.25,0,1
12/31/2022,CORP,41978629,,6,0.0252,7,0.0453,574882.4,666337.7,643473.9,678124.9,0,1
12/31/2022,CORP,60011885,,4,0.0061,4,0.0061,0,400000,300000,174242,0,1
12/31/2022,CORP,72546140,,7,0.0453,7,0.0453,634931,1000152,908847,971144,0,1
12/31/2022,CORP,39719107,,6,0.0226,6,0.0226,1302668.1,1637897.7,1494962.9,1212468.74,0,1
12/31/2022,CORP,48001996,,2,0.0017,2,0.0017,4528015.39,5741149.99,5406800.89,2216085.58,0,1
12/31/2022,CORP,81272947,,4,0.0061,6,0.0226,188901,700035,572252,490998.1,0,1
12/31/2022,CORP,47257107,,9,0.1876,9,0.1876,131214.5,131214.5,131214.5,232480.1,0,1
12/31/2022,CORP,80967439,,2,0.001539,2,0.001539,170290,170290,170290,47661.3,0,1
12/31/2022,CORP,43126596,,8,0.0905,6,0.0226,69278.7,80015.4,77331.22,68278.78,0,1
12/31/2022,CORP,13638355,,5,0.0127,5,0.0127,247544.8,250020.98,249401.93,182031.87,0,1
12/31/2022,CORP,46026975,,7,0.0591,7,0.0591,1452498,1486495.4,1477996,1417444.4,0,1
12/31/2022,CORP,20953678,,6,0.0255,6,0.0255,16397,24000,22099.25,19512.24,0,1
12/31/2022,CORP,34386297,,3,0.0024,3,0.0024,0,50000,37500,11688.2,0,1
12/31/2022,CORP,12347396,,4,0.0064,4,0.0064,75300,300016,243837,137328.7,0,1
12/31/2022,CORP,43302868,,7,0.047,7,0.047,1309750,1490383,1415225,1550729.7,0,1
12/31/2022,CORP,59835232,,5,0.0113,5,0.0113,7149.75,80000.05,61787.45,67796.48,0,1
12/31/2022,CORP,57799036,,4,0.005524,3,0.0028,0,150000000,0,,0,1
12/31/2022,CORP,63020478,,4,0.0044,4,0.0044,344886.05,391004.25,379474.65,214818.99,0,1
12/31/2022,CORP,19791619,,6,0.019226,2,0.0014,80160700,80652167,80529300,,0,1
12/31/2021,CORP,92082486,,5,0.0092,5,0.0092,2004156,2128312.3,2087273.2,1779135.9,0,1
12/31/2021,CORP,88924534,,3,0.0028,3,0.0028,0,500000,375000,134701,0,1
12/31/2021,CORP,12336434,,5,0.0122,5,0.0122,232994.2,267718.4,259037.3,158504.9,0,1
12/31/2021,CORP,86391684,,7,0.0401,7,0.0401,300312,1160312,300312,326451,0,1
12/31/2021,CORP,15264995,,3,0.003489,4,0.0057,72355800,72355800,72355800,60806290,0,1
12/31/2021,CORP,54262035,,7,0.0453,8,0.0905,196594.1,196594.1,196594.1,222112.5,0,1
12/31/2021,CORP,52979145,,6,0.0231,6,0.0231,306764,306764,306764,270854,0,1
12/31/2021,CORP,68666174,,5,0.014195,5,0.014195,3297492.6,3621202.6,3540275.6,2677272.7,0,1
12/31/2021,CORP,78073900,,3,0.0031,3,0.0031,430272.4,539404.4,512121,159621.4,0,1
12/31/2021,CORP,12898093,,7,0.05436,7,0.05436,674408,674408,674408,610759,0,1
12/31/2021,CORP,42048724,,7,0.0332,7,0.0332,214808.3,308579.4,285136.6,269346.1,0,1
12/31/2021,CORP,36872740,,6,0.0226,6,0.0226,1933309,4006245,2929221,3023517,0,0
12/31/2021,CORP,65337354,,7,0.056792,7,0.056792,6290306,10303129.85,7303529.3,12067890.83,0,1
12/31/2021,CORP,41077593,,3,0.002299,3,0.002299,48526,48526,48526,29004.4,0,1
12/31/2021,CORP,89664996,,3,0.0039,3,0.0039,1008160,1008160,1008160,372509,0,1
12/31/2021,CORP,57531498,,6,0.0223,6,0.0223,40279.77,193279.77,155029.77,136881.81,0,1
12/31/2021,CORP,70816834,,4,0.0045,4,0.0045,163279.5,163279.5,163279.5,91958.6,0,1
12/31/2021,CORP,96636034,,3,0.0039,3,0.0039,1039777,1489776.9,1322277.01,447748.39,0,1
12/31/2021,CORP,91663628,,2,0.001539,2,0.001539,0,5000000,3750000,1537010,0,1
12/31/2021,CORP,90183327,,4,0.0057,4,0.0057,0,220000,165000,94870.6,0,1
12/31/2021,CORP,79837755,4/25/2022,7,0.033157,7,0.033157,2748414,5048894,1330102,1512530,1,1
12/31/2021,CORP,79914943,,-1,1,12,1,1136076.71,1136076.71,1136076.71,0,0,0
12/31/2021,CORP,60258415,,4,0.0049,4,0.0049,152310.05,300000.05,60000,25213.89,0,1
12/31/2021,CORP,92611113,,4,0.0056,5,0.0113,3243876.03,3548692.1,3303386.01,2329123.102,0,1
12/31/2021,CORP,27450776,,8,0.100554,7,0.0453,6446010.41,8774665.52,3330172.91,3939004.492,0,1
12/31/2021,CORP,79309058,,7,0.0454,7,0.0454,1131319.7,1274898.7,1239003.7,1248763.8,0,1
12/31/2021,CORP,99639921,,4,0.0049,5,0.0113,240000,373000,147750,90321.9,0,1
12/31/2021,CORP,83858849,,5,0.009,4,0.0057,6263697.6,7112529.6,6900321.6,4205315,0,1
12/31/2021,CORP,99914939,,4,0.005859,4,0.005859,0,332000,249000,209254,0,1
12/31/2021,CORP,56722248,,5,0.0082,5,0.0082,0,189830,142373,93143.6,0,1
12/31/2021,CORP,58975136,,6,0.0226,5,0.0113,251338,251338,251338,183445,0,1
12/31/2021,CORP,65922137,,6,0.0256,6,0.0256,20000,40000,30000,26507.54,0,1
12/31/2021,CORP,46105835,,4,0.0057,5,0.0113,2357.42,160000.02,120589.32,132316.88,0,1
12/31/2021,CORP,59223398,,5,0.0147,5,0.0147,160335,160335,160335,91019.2,0,1
12/31/2021,CORP,60195824,,4,0.004982,4,0.004982,773329,873329,848329,515151,0,1
12/31/2021,CORP,17695640,,-1,1,12,1,3144022.208,3144022.208,3144022.208,0,0,0
12/31/2021,CORP,61948132,,3,0.0021,3,0.0021,2370253,2882611,2754521,1075291,0,1
12/31/2021,CORP,24997349,,6,0.0226,6,0.0226,946706.4,1852626.4,1159402.07,953957.82,0,1
12/31/2021,CORP,39114327,,2,0.0018,2,0.0018,10792,70000,55198,14760.34,0,1
12/31/2021,CORP,66721583,,7,0.0623,7,0.0623,381162.37,680537.37,605693.12,529185.5309,0,1
12/31/2021,CORP,91432525,,4,0.0077,4,0.0077,234473.1,1599998.1,540000.1,296204.3,0,1
12/31/2021,CORP,19018343,,8,0.0813,8,0.0813,180162.6,200004.4,195044,265352.7,0,1
12/31/2021,CORP,73624231,,6,0.0203,6,0.0203,373627,500011,468415,413582,0,1
12/31/2021,CORP,47197463,,8,0.0905,8,0.0905,20000,20000,20000,42367.8,0,1
12/31/2021,CORP,47660734,,7,0.0453,4,0.0057,267318,267318,267318,224649,0,1
12/31/2021,CORP,57078100,,6,0.0303,2,0.0014,305606,305606,305606,83771.3,0,1
12/31/2021,CORP,67841086,,6,0.022,6,0.022,464814.97,606020.87,537382.524,395549.266,0,1
12/31/2021,CORP,20447745,,7,0.0453,7,0.0453,349760,600015.2,481201.4,507114.4,0,1
12/31/2021,CORP,48094354,,5,0.0082,5,0.0082,188110.99,311015,280289.15,183372.1261,0,1
12/31/2021,CORP,85624784,,4,0.0052,4,0.0052,0,100000,75000,32853.3,0,1
12/31/2021,CORP,61517890,,4,0.007666,4,0.007666,170042.1,2999999.1,599999.42,341405.83,0,1
12/31/2021,CORP,52966440,,4,0.0046,4,0.0046,268917.42,305356.6,296246.83,166845.992,0,1
12/31/2021,CORP,46942591,,1,0.0009,1,0.0009,222151,500097,430611,78579,0,1
12/31/2021,CORP,44492861,,7,0.0369,7,0.0369,9958.18,9958.18,1991.64,0,0,1
12/31/2021,CORP,59085013,,3,0.002802,3,0.002802,20650823.84,36434975.84,32310548.84,16626994.57,0,1
12/31/2021,CORP,96350113,,4,0.0057,5,0.0113,16757945,25187565,21285255,23355321.8,0,1
12/31/2021,CORP,61600689,,3,0.003063,4,0.0057,0,500000,375000,164266,0,1
12/31/2021,CORP,50834813,,5,0.013852,5,0.013852,430120,700000,632530,476576,0,1
12/31/2021,CORP,97290149,,3,0.0028,4,0.0057,418625.4,950000.4,537156.4,302525.7,0,1
12/31/2021,CORP,39495495,,3,0.0039,3,0.0039,1038738.1,2728174.1,2305815.1,924029.9,0,1
12/31/2021,CORP,57540908,,4,0.0042,4,0.0042,135269.87,200000.07,116740.11,56267.45,0,1
12/31/2021,CORP,82806297,,3,0.002514,3,0.002514,2100970,3485970,3083470,1023749.12,0,1
12/31/2021,CORP,26514216,,6,0.0293,6,0.0293,1995708.2,3420408.2,2585484.27,2119236.27,0,1
12/31/2021,CORP,40549569,,4,0.007396,5,0.0113,30999.6,9792029.6,6199.92,,0,1
12/31/2021,CORP,64749254,,5,0.0113,5,0.0113,680333,680333,680333,496557,0,1
12/31/2021,CORP,94664080,,6,0.030168,6,0.030168,454400.8,6649997.8,1703380.4,2304850.8,0,1
12/31/2021,CORP,19048271,,8,0.0905,8,0.0905,268066.27,650016.27,554529.27,727431.132,0,1
12/31/2021,CORP,46986841,,3,0.0028,4,0.0057,163635,199999.7,190908.5,107519.6,0,1
12/31/2021,CORP,32644725,,4,0.0044,4,0.0044,327188.1,330783.2,329884.42,176582.87,0,1
12/31/2021,CORP,91972011,,6,0.0212,6,0.0212,1816958,2600000,520000.03,482741.84,0,1
12/31/2021,CORP,26882066,,4,0.0059,5,0.0113,30000,680000,502500,372889.29,0,1
